x,y,yR,yn,yRecTV,yRecTV2,yRecTV1p2,yRecTVR
0.26,2.4818581963359367,2.4818581963359367,2.451351497194215,2.5247746639129027,2.4883977616082045,2.485546806371568,2.5247735685168746
0.262,2.506990937564655,2.506990937564655,2.582974094819991,2.5829418654086163,2.510617042124995,2.509157295089791,2.582939357041202
0.264,2.5321236787933734,2.5321236787933734,2.6495196449809804,2.6496086343396428,2.53367332608636,2.533186938496053,2.649569607361369
0.266,2.557256420022092,2.557256420022092,2.7530885455271505,2.724499386004385,2.557074126035468,2.5573898818447196,2.673874214313551
0.268,2.58238916125081,2.58238916125081,2.9903652124451274,2.724688972773759,2.580474925984576,2.581592825193386,2.674047741394236
0.27,2.6075219024795286,2.6075219024795286,2.4320521876264634,2.724688972773759,2.6045535661272172,2.606137061071191,2.674047741394236
0.272,2.6326546437082468,2.6326546437082468,2.79166622787679,2.761748209621177,2.628877772144233,2.630806669933406,2.6741786976674695
0.274,2.6577873849369653,2.6577873849369653,3.061575581873704,2.761748209621177,2.6532019781612486,2.6554762787956205,2.6741786976674695
0.276,2.6829201261656834,2.6829201261656834,2.9579975169501678,2.7618966327994583,2.6780138685574273,2.680395231287754,2.6742236965713113
0.278,2.708052867394402,2.708052867394402,2.773657268883831,2.7618966327994583,2.7029739731425453,2.705393133719879,2.6742236965713113
0.28,2.7331856086231205,2.7331856086231205,2.688460713884225,2.7619768808193617,2.7279340777276637,2.7303910361520045,2.6741452901401117
0.282,2.758318349851838,2.758318349851838,2.5201865550425073,2.7619768808193617,2.7531942003074774,2.7555488823916616,2.6741452901401117
0.284,2.7834510910805563,2.7834510910805563,2.539705374183785,2.7621396560773888,2.7785210912504263,2.780747607848365,2.6740942080646253
0.286,2.808583832309275,2.808583832309275,2.803200594405543,2.7766566298015003,2.8038479821933753,2.8059463333050685,2.6740942080646253
0.288,2.833716573537993,2.833716573537993,2.896593422639896,2.776869028010857,2.82931727089028,2.8312313030350524,2.6740331325420987
0.29,2.8588493147667116,2.8588493147667116,2.6280866229379116,2.776869028010857,2.8547970141902916,2.85653146238035,2.6740331325420987
0.292,2.8839820559954297,2.8839820559954297,3.0998239497176505,2.974153633510728,2.880276757490303,2.8818316217256474,2.673857162952566
0.294,2.9091147972241482,2.9091147972241482,-3.0561211321316115,2.974153633510728,2.9057891016214064,2.90716775595154,-1.552796663346529
0.296,2.934247538452867,2.934247538452867,2.8620355034515907,2.9743278253729573,2.93128387712924,2.932506543522862,2.3472547009548532
0.298,2.959380279681585,2.959380279681585,2.9363740741663307,2.9743278253729573,2.956778652637073,2.957845331094184,2.3472547009548532
0.3,2.9845130209103035,2.9845130209103035,2.7465983014786497,2.974521712796674,2.9822501574149465,2.983194728919758,2.347174008401782
0.302,3.0096457621390216,3.0096457621390216,-3.107994652017574,3.113666982978048,3.0077015339463395,3.008545072640174,-1.6046701832324912
0.304,3.03477850336774,3.03477850336774,3.052876957177114,3.1139026024270673,3.0331529104777326,3.0338954163605907,1.5495524883920313
0.306,3.0599112445964582,3.0599112445964582,-2.753715865157779,-3.090896795825413,3.0585736358532354,3.0592514351228646,-1.2503913963726963
0.308,3.085043985825177,3.085043985825177,3.1090197034131717,-3.090700850769063,3.083989316645442,3.084612770058113,1.605695234628089
0.31,3.1101767270538954,3.1101767270538954,-3.040005969793039,-3.090700850769063,3.109404997437649,3.109974104993362,-2.316172351941024
0.312,3.1353094682826135,3.1353094682826135,-3.095663202874131,-3.0905516352430755,3.134816069985101,3.1353474790758105,-2.316172351941024
0.314,-3.122743097668254,3.160442209511332,2.895333409705495,-3.0905516352430755,-3.122941623433134,-3.122454815974181,1.3920089409204122
0.316,-3.097610356439536,3.18557495074005,-2.5774635423342924,-3.0811326468648232,-3.0975140096717833,-3.0970718038445852,-1.0741390735492098
0.318,-3.0724776152108175,3.2107076919687687,3.0496640438337956,-3.0811326468648232,-3.0720529941157713,-3.0716708297820485,1.546339575048713
0.32,-3.047344873982099,3.2358404331974873,-2.8168706764647364,-3.081072956135822,-3.0465596975147644,-3.0462621589830063,-1.3135462076796538
0.322,-3.0222121327533813,3.260973174426205,3.0958762492772407,-3.081072956135822,-3.021066400913758,-3.020853488183964,1.592551780492158
0.324,-2.9970793915246627,3.2861059156549235,-3.0380008157078366,-3.081021092584227,-2.9955134485963355,-2.9954332211183337,-2.2787662481482798
0.326,-2.971946650295944,3.311238656883642,-3.0228561493737955,-3.081021092584227,-2.9699295722885055,-2.9700184135869114,-2.2787662481482798
0.328,-2.9468139090672256,3.3363713981123606,2.959680721369294,-3.0809305837930756,-2.9443456959806755,-2.9446036060554897,2.1525570818637125
0.33,-2.921681167838507,3.361504139341079,2.848757911143232,-3.0809305837930756,-2.9187091684927693,-2.919205190101471,2.1525570818637125
