x,y,yR,yn,yRecTV,yRecTV2,yRecTV1p2,yRecTVR
0.348,-2.6954864967800427,3.5876988103995435,-3.014763693710356,-2.7434091857726246,-2.689278703963869,-2.6929882537209426,-2.693479963372104
0.35,-2.670353755551324,3.612831551628262,-2.6809187013401825,-2.7434091857726246,-2.6644234179102755,-2.668448809740727,-2.693479963372104
0.352,-2.6452210143226065,3.6379642928569798,-2.8303534337638396,-2.7431772578751126,-2.6395681318566817,-2.6439093657605115,-2.693263822698245
0.354,-2.620088273093888,3.6630970340856983,-2.573976651216889,-2.6185108771763193,-2.615167618944885,-2.619709704900976,-2.6184780965647287
0.356,-2.5949555318651694,3.688229775314417,-2.6627561284644985,-2.6182752577273,-2.591089987614486,-2.595722219184344,-2.6182424771157096
0.358,-2.569822790636451,3.7133625165431354,-2.509228615322226,-2.555766048773852,-2.5670123562840867,-2.571734733467712,-2.5557592788576726
0.36,-2.5446900494077322,3.738495257771854,-2.6020443287698276,-2.5555304293248327,-2.5435783714744757,-2.548166335204524,-2.5555236594086534
0.362,-2.5195573081790146,3.7636279990005717,-2.242968762671603,-2.4930882343701435,-2.520551861504081,-2.5248351388208756,-2.493087898066934
0.364,-2.494424566950296,3.78876074022929,-2.532281334594029,-2.4928858831033875,-2.4975253515336866,-2.5015039424372274,-2.4928855468001783
0.366,-2.4692918257215775,3.8138934814580088,-2.532308614581184,-2.4928858831033875,-2.4753049303945343,-2.4786383153758447,-2.4928855468001783
0.368,-2.444159084492859,3.8390262226867273,-2.4527096994849202,-2.492717139014419,-2.453548580162034,-2.45687771259202,-2.492716802711209
0.37,-2.4190263432641403,3.864158963915446,-2.4572829292683966,-2.492717139014419,-2.431792229929534,-2.456140078998054,-2.492716802711209
0.372,-2.3938936020354227,3.8892917051441636,-2.2149412431836857,-2.4925982111614458,-2.410949187917882,-2.455862119013751,-2.4925978748582356
0.374,-2.368760860806704,3.914424446372882,-2.3751251399172433,-2.4925982111614458,-2.3905869158153235,-2.455710002521279,-2.4925978748582356
0.376,-2.3593360828459344,-2.3593360828459344,-2.3187074947909037,-2.4925748501971627,-2.3799872089607,-2.4555578860288074,-2.4925745138939526
0.378,-2.3656192681531145,-2.3656192681531145,-2.256977989594948,-2.4925748501971627,-2.382081339070047,-2.4555459755014386,-2.4925745138939526
0.38,-2.3719024534602937,-2.3719024534602937,-2.4374251559986604,-2.492643576984013,-2.384628343947597,-2.4555228092530834,-2.492643240680803
0.382,-2.3781856387674734,-2.3781856387674734,-2.349319126069266,-2.492643576984013,-2.3871753488251466,-2.4554996430047282,-2.492643240680803
0.384,-2.384468824074653,-2.384468824074653,-2.2911351675228833,-2.492812762691787,-2.3906109293542808,-2.455515509345488,-2.4928124263885767
0.386,-2.3907520093818326,-2.3907520093818326,-2.455468421323069,-2.492812762691787,-2.3944369389970026,-2.4555383725964863,-2.4928124263885767
0.388,-2.3970351946890123,-2.3970351946890123,-2.908329325996425,-2.4940809809259807,-2.398262948639725,-2.4555612358474845,-2.4940807507432075
0.39,-2.4033183799961915,-2.4033183799961915,-2.493002709880092,-2.4940809809259807,-2.402857182532623,-2.4556155432120796,-2.4940807507432075
0.392,-2.4096015653033716,-2.4096015653033716,-2.665187646966746,-2.4941599512695705,-2.407757414201547,-2.4557238123072396,-2.4941597210867976
0.394,-2.4158847506105507,-2.4158847506105507,-2.6006506285964504,-2.4941599512695705,-2.4126576458704707,-2.4558320814023995,-2.4941597210867976
0.396,-2.422167935917731,-2.422167935917731,-2.293794502366604,-2.4942271009894883,-2.418162971240255,-2.4561438646189346,-2.494226870806715
0.398,-2.42845112122491,-2.42845112122491,-2.3176963794461605,-2.4942271009894883,-2.4238816899027436,-2.4567065826208783,-2.494226870806715
0.4,-2.4347343065320897,-2.4347343065320897,-2.2031428648716203,-2.494382513304399,-2.429600408565232,-2.4572693006228223,-2.4943822831216256
0.402,-2.4410174918392693,-2.4410174918392693,-2.813525779853718,-2.494382513304399,-2.435744940121081,-2.4582729219235837,-2.4943822831216256
0.404,-2.447300677146449,-2.447300677146449,-2.5612215230729465,-2.494550730794752,-2.4420150899165862,-2.459524331233055,-2.494550500611979
0.406,-2.4535838624536286,-2.4535838624536286,-2.511443159501274,-2.494550730794752,-2.4482852397120913,-2.4629974996448563,-2.494550500611979
